r	a	alpha	phi1	phi2	psi1	psi2	pi1	pi2	m
3.2400010000000004	1.1723056538322683	0.8225894937178511	0.09341919552178542	0.0	-0.06498227635327883	0.0	0.0	-0.09831107918691062	0.49337489054367284
3.2600010000000004	1.171943063058673	0.8235839901405485	0.09212803253326624	0.0	-0.0641353691970787	0.0	0.0	-0.09676949660556666	0.4955229955109264
3.2800010000000004	1.1715693815782902	0.824570074433748	0.09085372666918909	0.0	-0.06329657444947787	0.0	0.0	-0.09525158494458656	0.49763589354987947
3.3000010000000004	1.1711850202451866	0.8255477974972135	0.08959611507450128	0.0	-0.062465951535250475	0.0	0.0	-0.09375705439817639	0.49971398333159955
3.3200010000000004	1.1707903818168606	0.82651721143359	0.08835503378044299	0.0	-0.06164355245051273	0.0	0.0	-0.09228561439765738	0.5017576663816878
3.340001	1.1703858609191398	0.8274783694693691	0.08713031785013095	0.0	-0.06082942206060253	0.0	0.0	-0.09083697387159297	0.50376734667912
3.360001	1.1699718440244629	0.8284313258785544	0.08592180151824891	0.0	-0.06002359839150727	0.0	0.0	-0.0894108414933758	0.5057434302718395
3.380001	1.1695487094427732	0.8293761359089815	0.08472931832497521	0.0	-0.059226112914693596	0.0	0.0	-0.08800692591658367	0.5076863249086901
3.400001	1.1691168273242756	0.8303128557112462	0.08355270124428082	0.0	-0.05843699082521957	0.0	0.0	-0.08662493599842042	0.5095964396872897
3.420001	1.1686765596733253	0.8312415422701915	0.08239178280673308	0.0	-0.05765625131303432	0.0	0.0	-0.0852645810115644	0.5114741847174256
3.440001	1.1682282603727452	0.8321622533389036	0.08124639521694219	0.0	-0.05688390782739369	0.0	0.0	-0.08392557084475306	0.5133199707995625
3.460001	1.1677722752178856	0.8330750473751642	0.08011637046578868	0.0	-0.05611996833434181	0.0	0.0	-0.0826076161924346	0.5151342091180497
3.480001	1.1673089419597673	0.8339799834803069	0.07900154043757089	0.0	-0.055364435567228795	0.0	0.0	-0.08131042873382074	0.5169173109486138
3.500001	1.1668385903566716	0.8348771213404224	0.07790173701221176	0.0	-0.05461730727025333	0.0	0.0	-0.08003372130167599	0.5186696873797237
3.520001	1.1663615422335643	0.8357665211698585	0.07681679216266449	0.0	-0.0538785764350361	0.0	0.0	-0.07877720804117846	0.5203917490474248
3.540001	1.1658781115487644	0.8366482436569592	0.07574653804765635	0.0	-0.05314823153024592	0.0	0.0	-0.07754060455918708	0.5220839058832282
3.560001	1.1653886044672925	0.8375223499119864	0.07469080709990908	0.0	-0.05242625672431489	0.0	0.0	-0.07632362806424745	0.5237465668746608
3.580001	1.1648933194403572	0.8383889014171683	0.07364943210997363	0.0	-0.05171263210129226	0.0	0.0	-0.07512599749766727	0.5253801398380702
3.6000010000000002	1.1643925472904608	0.8392479599788187	0.0726222463058161	0.0	-0.05100733386989879	0.0	0.0	-0.07394743365598776	0.5269850312032974
3.6200010000000002	1.163886571301631	0.84009958768147	0.0716090834282898	0.0	-0.050310334565854264	0.0	0.0	-0.07278765930517443	0.5285616458098272
3.6400010000000003	1.1633756673143043	0.840943846843964	0.07060977780262749	0.0	-0.04962160324756093	0.0	0.0	-0.07164639928684556	0.5301103867140314
3.6600010000000003	1.1628601038244117	0.8417807999774454	0.06962416440608557	0.0	-0.04894110568523423	0.0	0.0	-0.07052338061685197	0.5316316550071339
3.6800010000000003	1.1623401420862405	0.8426105097452015	0.06865207893187035	0.0	-0.048268804543580394	0.0	0.0	-0.06941833257651597	0.5331258496435242
3.7000010000000003	1.1618160362186634	0.8434330389242932	0.06769335784947449	0.0	-0.04760465955812733	0.0	0.0	-0.06833098679683161	0.5345933672790577
